Parameter,Value
Beta (uncontrolled),0.0439
R2 (uncontrolled),0.0027
Beta (controlled),-0.0085
R2 (controlled),0.1802
Rmax,0.2342
Delta,1.0
Beta (bounded),-0.0256
Delta* (beta*=0),0.5317
N,19032
Note: Rmax = min(1.0, 1.3 * R2_controlled). Delta=1 assumes proportional selection.
