="Robustness Checks: Coefficient on Claiming Age"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="life_sat",="life_sat",="life_sat",="life_sat",="life_sat_z",="life_sat",="life_sat"

="claim_age_c62",="0.0116",="-0.00848",="-0.00825",="-0.0112",="-0.00599",="-0.0483",="-0.00583"
="",="(0.0107)",="(0.00964)",="(0.00931)",="(0.00795)",="(0.00680)",="(0.0251)",="(0.00946)"

="N",="19032",="19032",="18698",="19295",="19032",="19032",="18873"
="r2_a",="0.0457",="0.179",="0.207",="0.167",="0.179",="0.179",="0.185"

="Standard errors in parentheses"
="All models use sample_primary; primary weighted N=19032"
="N varies slightly across specifications (unweighted model includes obs with missing weights)"
="All weighted estimates use person-clustered robust SEs"
="* p<0.05, ** p<0.01, *** p<0.001"
